id,host_name,latitude,longitude,room_type,accommodates,bedrooms,beds,price,number_of_reviews,review_scores_rating,region_parent_name
20159398,Therese,53.34551,-6.34761,Private room,1,1,1,$45.00,2,100,Dublin City Council
7914345,Micheal,53.33197,-6.32468,Entire home/apt,5,2,4,$151.00,38,93,Dublin City Council
19996372,Fran,53.35261,-6.34939,Private room,2,1,1,$65.00,166,98,Dublin City Council
25482966,Karen,53.32521,-6.32215,Entire home/apt,5,3,3,$100.00,0,,Dublin City Council
27055293,Brooker,53.35016,-6.34437,Entire home/apt,6,2,2,$350.00,0,,Dublin City Council
13620699,Mary,53.3446,-6.34068,Entire home/apt,2,1,1,$50.00,3,73,Dublin City Council
25478339,Catherine,53.33801,-6.33186,Entire home/apt,3,2,2,$90.00,6,93,Dublin City Council
23116032,Susan,53.34664,-6.34622,Private room,3,2,2,$75.00,55,97,Dublin City Council
13759419,Sammy,53.33404,-6.33045,Entire home/apt,6,3,3,$200.00,38,97,Dublin City Council
5373926,Margaret,53.33224,-6.32507,Entire home/apt,5,3,3,$100.00,0,,Dublin City Council
39553940,Beatriz,53.34023,-6.36428,Private room,2,1,1,$30.00,1,60,Dublin City Council
17427277,Angelika,53.33616,-6.32879,Private room,5,3,3,$110.00,12,100,Dublin City Council
165828,Grainne,53.33744,-6.32363,Entire home/apt,5,1,3,$100.00,44,90,Dublin City Council
3009793,Grainne,53.33761,-6.32431,Entire home/apt,2,,1,$70.00,20,93,Dublin City Council
3581384,Christina,53.32697,-6.31395,Entire home/apt,6,3,4,$120.00,20,96,Dublin City Council
17044705,Matt,53.34367,-6.24836,Private room,1,,1,$79.00,2,,Dublin City Council
37968060,Sonder (Dublin),53.34454,-6.23394,Entire home/apt,4,2,2,$157.00,4,100,Dublin City Council
40103275,Marina,53.32998,-6.26781,Entire home/apt,4,2,3,$142.00,16,99,Dublin City Council
23774816,Debbie,53.34626,-6.34372,Private room,2,1,1,$60.00,80,96,Dublin City Council
47468895,Inga,53.33193,-6.37843,Private room,2,1,1,$66.00,0,,Dublin City Council
42934298,Tushita,53.34331,-6.23349,Entire home/apt,4,2,2,$350.00,0,,Dublin City Council
37684921,Jason,53.33072,-6.31305,Private room,2,1,1,$65.00,14,91,Dublin City Council
45796614,Griffith Halls Of Residence,53.33217,-6.26961,Entire home/apt,2,1,2,$99.00,2,100,Dublin City Council
17901826,Jack,53.34427,-6.26615,Entire home/apt,5,2,0,$338.00,176,99,Dublin City Council
22171449,Sandra,53.33834,-6.24375,Private room,2,1,1,$75.00,14,88,Dublin City Council
19925329,Kevin,53.33598,-6.25588,Entire home/apt,15,6,7,"$1,026.00",88,99,Dublin City Council
19323781,Ronan,53.33796,-6.32354,Private room,7,1,1,$77.00,25,94,Dublin City Council
21935789,Grand Canal,53.34634,-6.23928,Entire home/apt,2,1,1,$80.00,6,100,Dublin City Council
1706795,Derek,53.33474,-6.25573,Private room,1,1,1,$51.00,0,,Dublin City Council
24223651,Ana Mihaela,53.34749,-6.25655,Entire home/apt,4,1,2,$104.00,0,,Dublin City Council
7192835,Evan,53.33592,-6.2668,Private room,2,1,1,$246.00,8,95,Dublin City Council
12190222,Niall&Grace,53.33979,-6.22329,Entire home/apt,4,2,2,$97.00,117,93,Dublin City Council
45429806,Johnny,53.34047,-6.26488,Entire home/apt,6,2,5,$157.00,0,,Dublin City Council
46140429,Elo,53.34444,-6.22986,Entire home/apt,6,3,3,$186.00,0,,Dublin City Council
46602309,Mark,53.34216,-6.24624,Entire home/apt,4,2,2,$115.00,0,,Dublin City Council
32827755,David,53.3459,-6.2513,Entire home/apt,2,1,1,$129.00,42,96,Dublin City Council
46827122,Marko,53.33568,-6.24577,Entire home/apt,3,2,2,$115.00,0,,Dublin City Council
45905621,Karen,53.3358,-6.2664,Private room,2,1,1,$79.00,0,,Dublin City Council
37959350,Rachel,53.33281,-6.26868,Entire home/apt,6,3,4,$292.00,6,90,Dublin City Council
20699517,Ann,53.34172,-6.26339,Entire home/apt,10,3,5,$529.00,37,88,Dublin City Council
37984315,Owen,53.3338,-6.26379,Hotel room,2,1,1,$92.00,2,100,Dublin City Council
36586845,Clarendon,53.34132,-6.26265,Hotel room,2,1,1,$107.00,29,92,Dublin City Council
20776399,Brian,53.34182,-6.24241,Entire home/apt,10,3,6,$229.00,23,83,Dublin City Council
42710739,Apache 2,53.34384,-6.26555,Private room,2,1,1,$40.00,7,80,Dublin City Council
27417706,Beverley,53.34051,-6.23257,Entire home/apt,6,3,3,$120.00,7,90,Dublin City Council
24194754,Phil,53.34458,-6.26835,Entire home/apt,4,2,2,$160.00,146,89,Dublin City Council
47390005,Apache Hostel Temple Bar,53.34384,-6.26361,Private room,2,1,0,$31.00,5,72,Dublin City Council
27419661,Glen,53.34312,-6.23773,Private room,2,1,1,$90.00,32,95,Dublin City Council
34931021,Drury,53.34065,-6.26346,Private room,1,1,1,$65.00,12,97,Dublin City Council
23107964,Moises,53.34153,-6.27201,Private room,2,1,1,$62.00,15,99,Dublin City Council
32013275,Nicole,53.34112,-6.26698,Entire home/apt,4,1,2,$140.00,81,86,Dublin City Council
12706821,Mic,53.34392,-6.26309,Private room,2,1,2,$77.00,151,92,Dublin City Council
28637018,Grace,53.34416,-6.26796,Entire home/apt,4,2,2,$230.00,24,98,Dublin City Council
30316922,Leon,53.33545,-6.24873,Private room,2,1,1,$50.00,39,95,Dublin City Council
31187887,P.Mark,53.3373,-6.2534,Private room,2,1,1,$77.00,2,80,Dublin City Council
36940602,Kay,53.34366,-6.26921,Entire home/apt,4,2,3,$182.00,20,96,Dublin City Council
33093413,Alexis,53.34069,-6.23126,Entire home/apt,6,2,2,$120.00,2,,Dublin City Council
33340108,Temple Bar,53.34443,-6.2632,Entire home/apt,4,1,2,$62.00,36,97,Dublin City Council
41152926,Temple Bar,53.34595,-6.26347,Entire home/apt,2,1,2,$62.00,6,83,Dublin City Council
43923926,Niall And Gavin,53.34606,-6.26287,Entire home/apt,4,1,2,$130.00,3,100,Dublin City Council
24203388,Gemma,53.34113,-6.23201,Entire home/apt,5,3,3,$140.00,74,94,Dublin City Council
22975751,Katie,53.33119,-6.26095,Private room,2,1,1,$30.00,2,100,Dublin City Council
31581573,Gonzague,53.33915,-6.26963,Entire home/apt,4,1,2,$65.00,56,94,Dublin City Council
14541302,Akemi,53.33215,-6.25401,Private room,4,2,2,$70.00,5,100,Dublin City Council
17401645,Cfs,53.34438,-6.24319,Entire home/apt,4,2,2,$350.00,1,,Dublin City Council
